Tag,Class,Description,Category,Keywords
Self-Confidence,Skill,Use self-confidence to boost performance.,Self-Confidence,"Self-Confidence, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management"
Self-Confident,Skill,Help adult learners explore positive self-discovery through learning.,Self-Confident,"Learning, Self Confident, Self-Confidence, adult learners, self-discovery"
Self-Control,Skill,Stay calm under pressure.,Self-Control,"Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Professional Development and Career Management, Self-Control"
Self-Directed Learning,Skill,"Test various learning pathways toward a specific educational, personal, or professional goal.",Self-Directed Learning,"21st Century Skills, Doing, SEL, Power Skills Framework, Lifelong Learning, Self-Directed Learning, Performance Improvement, Active Learning, Learning Development, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Executive Function & Responsible Decision Making"
Self-Discipline,Skill,Work toward personal and professional goals.,Self-Discipline,"Self-Discipline, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Professional Development and Career Management"
Self-Motivation,Skill,Design a plan for enhancing one's workflow efficiency.,Self-Motivation,"Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Self-Awareness, enhancement, workflow, design"
Self-Reflection,Skill,Examine one's personal attributes and performance to identify strengths and areas of improvement.,Self-Reflection,"Positive Mental Attitude, Reflective Practice, Self-Reflection, Positive Behavior Support, Positive Reinforcement, Reflective Listening"
Self-Starter,Skill,Perform programming tasks without micro-management.,Self-Starter,self-starter
Self-Sufficiency,Skill,Take responsibility for personal happiness.,Self-Sufficiency,"Self-Sufficiency, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management"
Selling Techniques,Skill,Use key buying motivators to influence customers.,Selling Techniques,"Selling Techniques, Influencer, Transferrable Skills Across Occupations"
Senior Professional In Human Resources,Skill,"Integrate laws, regulations, and precedent cases in the design of workforce planning and employment programs.",Senior Professional In Human Resources,"Senior Professional In Human Resources, Senior Professional In Human Resources (SPHR)"
Sensemaking,Skill,"Make sense of ambiguous, equivocal or confusing issues or events.",Sensemaking,"Sensemaking, Transferrable Skills Across Occupations"
Service Delivery,Skill,Define the roles and responsibilities of each party involved with delivering a service.,Service Delivery,"Microsoft Excel, Microsoft Word, Service Delivery, Google Docs, Google Sheets, Microsoft Project, Monday.com, LucidCharts"
Service Desk,Skill,Train users who contact the service desk on the proper use of hardware or software.,Service Desk,Service Desk
Service Provider,Skill,Define the scope of services for which an organization needs a service provider.,Service Provider,"Service Provider, Microsoft Office, CRM, ERP, MSP Software, Help Desk Software"
Service-Level Agreement,Skill,Design a system based on a service-level agreement.,Service-Level Agreement,Service-Level Agreement
Service-Orientation,Skill,Identify patient needs through verbal communication.,Service-Orientation,"Communication, Verbal Communication, Service-Orientation"
Service-Oriented Architecture,Skill,Develop collaborative application and service solutions.,Service-Oriented Architecture,Service-Oriented Architecture
Sherwood Applied Business Security Architecture,Skill,Maintain Sherwood Applied Business Security Architecture (SABSA) in the organization.,Sherwood Applied Business Security Architecture,"Sherwood Applied Business Security Architecture, Sherwood Applied Business Security Architecture (SABSA)"
Shift Scheduling,Skill,Track paid time off (PTO) days to ensure coverage for each shift.,Shift Scheduling,"Scheduling, MS Office, MS Project, Visio, Oracle, ADP, Shift Scheduling, Paid Time Off (PTO), Paid Time Off, PTO"
Signals Intelligence,Skill,Analyze signals intelligence (SIGNIT) for a law enforcement investigation.,Signals Intelligence,Signals Intelligence
Simulations,Skill,Add randomness to a system.,Simulations,"C++, Python, R, Simulations"
Single Sign-On (SSO),Skill,Monitor single sign on solutions for errors and security policy violations.,Single Sign-On (SSO),"The Issues of Identity and Access Management (IAM), Okta, Single Sign-On (SSO), Single Sign On"
Site Security,Skill,Identify potential threats to a site's security.,Site Security,Site Security
Six Sigma Methodology,Skill,Serve as the Six Sigma project champion to implement standard operating procedures (SOPs) and train personnel to increase overall process efficiency.,Six Sigma Methodology,"Six Sigma, Six Sigma Methodology"
Sleep Medicine,Skill,Teach a patient about sleep disorder risks.,Sleep Medicine,Sleep Medicine
Sociability,Skill,Identify opportunities for social contact with others.,Sociability,"Social Perceptiveness, Communications, Social Skills, Interpersonal Skills, Verbal Communication Skills, Oral Communication, Social Accountability, Interpersonal Communications, Sociability, Social Behavior, Social Communications, social contact"
Social Determinants of Health,Skill,Teach a patient about health information in a culturally competent manner.,Social Determinants of Health,"Social Determinants of Health, patient education, culturally competent"
Social Engineering,Skill,Gather information on the target organization.,Social Engineering,"Social Engineering, Ethical Hacking: Social Engineering"
Social Justice,Skill,Teach others how to advocate for social justice.,Social Justice,"Diversity, Equity, and Inclusion (DEI): General, DEI Collection, Character, 21st Century Skills, Diversity, Social Justice"
Social Listening,Skill,"Develop strategies to reach, engage, and influence target audiences.",Social Listening,"Influencer, Social Listening"
Social Media,Skill,Invest in an upgraded web presence on recruiting and networking websites.,Social Media,"Social Media, Social Content, Social media websites, recruitment websites"
Social Media Literacy,Skill,Utilize social media platforms and tools.,Social Media Literacy,"Social Media, Foundational Literacies, Social Media Literacy"
Social Media Management,Skill,Maintain a consistent brand voice across social media platforms.,Social Media Management,"Influencer, Social Media Management"
Social Media Marketing,Skill,"Create a social media strategy involving influencers, hashtags, data, and reputation management that aligns to business goals and priorities.",Social Media Marketing,"Goal Oriented, Goal Setting, Social Media, Prioritization, Marketing, goals, Social Media Marketing, Social Media Strategy, SMM, data, Social Media Influencers, Influencers, Social Media Marketing (SMM), Reputation Management"
Social Perceptiveness,Skill,Develop an unbiased awareness to reactions from patients.,Social Perceptiveness,"Social Perceptiveness, Medical Assistant"
Social Science Literacy,Skill,Describe the relationship between social science and other disciplines.,Social Science Literacy,"Social Sciences, Foundational Literacies, Social Science Literacy"
Social Sciences,Skill,Develop solutions to an identified problem within a society.,Social Sciences,Social Sciences
Social Skills,Skill,Communicate clearly with team members in written communication.,Social Skills,"Business Ethics, Professional Ethics, Communications, Doing, Social Skills, Interpersonal Skills"
Social Work,Skill,Collaborate with other service providers to meet client needs.,Social Work,"Social Work, Career Coach, Social Enterprise, Healthy Learning Strategies"
Social-Emotional Learning (SEL),Skill,Take the perspective of others.,Social-Emotional Learning (SEL),"Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management, Social-Emotional Learning (SEL)"
Sociology,Skill,Collect information using verbal methods when interacting with an individual.,Sociology,Sociology
Software Design,Skill,Identify software design patterns that match business requirements.,Software Design,Software Design
Software Design Patterns,Skill,Optimize software design patterns for maintainability by application developers.,Software Design Patterns,Software Design Patterns
Software Development,Skill,Troubleshoot software systems.,Software Development,"software development, Systems Engineer"
Software Development Life Cycle,Skill,Implement a version control solution as part of the software development life cycle for an organization.,Software Development Life Cycle,"Microsoft Excel, Implementation, Jira, Software Development Life Cycle, software, GitHub, ReQtest, Jama Connect, software development, Version Control, Azure DevOps, Aha!, Life Cycle"
Software Documentation,Skill,Plan a set of development tasks based on software specifications.,Software Documentation,"documentation, specifications"
Software Engineering,Skill,Assess the impact of design changes to software systems.,Software Engineering,Software Engineering
Software Testing,Skill,Design unit test scripts for testing applications.,Software Testing,Software Testing
Software as a Service (SaaS),Skill,Identify levels of support for software as a service (SaaS) subscription services.,Software as a Service (SaaS),Software as a Service (SaaS)
Soil Science,Skill,Manage soils by using an enhanced landscape design.,Soil Science,Soil Science
Soldering,Skill,Create a solder joint using a soldering iron.,Soldering,"soldering iron, Soldering, solder vacuum, flux pen, soldering mat, third hand, pliers, cutters, nippers, safety glasses, monocle, solder paste in a syringe, tweezers, hot plate/skillet, toaster oven, or reflow oven, wave soldering machine"
Sorting,Skill,Sort donated goods into specific containers according to sorting procedures.,Sorting,"Retail Sales Associate, Merchandise Processors, Sorting, Merchandise Processor"
Spill Containment,Skill,Handle hazardous material using personal protective equipment (PPE).,Spill Containment,"MS Office, Spill Containment"
Spirometry,Skill,Analyze spirometry results for the determination of an obstruction or restriction of a patient's lungs.,Spirometry,Spirometry
Spreadsheets,Skill,Create a vendor and supply list in a spreadsheet for inventory record keeping.,Spreadsheets,Spreadsheets
Spring Framework,Skill,Design applications with Spring Framework transaction management.,Spring Framework,Spring Framework
Staff Management,Skill,Train staff members to develop positive relationships with employees from other departments with differing perspectives.,Staff Management,Staff Management
Stakeholder Management,Skill,Attend stakeholder meetings with business team members to ensure the feedback of stakeholder responses are provided within agreed timescales.,Stakeholder Management,Stakeholder Management
Standard Operating Procedure,Skill,Create a process to manage standard operating procedures (SOPs) for an organization.,Standard Operating Procedure,Standard Operating Procedure
State Laws,Skill,Explain state-specific regulations for pharmacy technicians.,State Laws,"State Laws, pharmacy"
Statistical Inference,Skill,Draw conclusions from interpreted research results.,Statistical Inference,"Curriculum & Instruction, Statistical Inference"
Statistical Modeling,Skill,Select an appropriate statistical model for given data.,Statistical Modeling,Statistical Modeling
Statistical Packages,Skill,Cluster time-series data.,Statistical Packages,"Statistical Packages, SAS (Statistical Analysis System), SPSS (Statistical Package for the Social Sciences) Statistics, Stata"
Statistics,Skill,Select appropriate visualizations to communicate the shape of data.,Statistics,Statistics
Statutory Accounting Principles,Skill,Reconcile accounting errors to ensure adherence to statutory accounting principles (SAP).,Statutory Accounting Principles,Statutory Accounting Principles
Sterile Techniques And Procedures,Skill,Evaluate the work environment for identifying non-sterile working conditions.,Sterile Techniques And Procedures,"Medical Assistant, Sterile Techniques And Procedures"
Stocking Merchandise,Skill,Use inventory management systems to track merchandise.,Stocking Merchandise,"Retail Sales Associate, Merchandise Processors, Stocking Merchandise"
Stocks (Inventory),Skill,Manage a pharmacy's medication inventory.,Stocks (Inventory),"Management, Inventory, records, manage, count, Stocks (Inventory)"
Stored Procedure,Skill,Design stored procedure permissions.,Stored Procedure,Stored Procedure
Stormwater Management,Skill,Estimate runoff volumes or pollutant loads based on an appropriate model and associated with a specific best management practice (BMP).,Stormwater Management,Stormwater Management
Storyboarding,Skill,Identify the user experience elements to include in a storyboard based on business requirements.,Storyboarding,Storyboarding
Storytelling,Skill,Use props and visual aids to enhance a story.,Storytelling,"Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Professional Development and Career Management, Storytelling"
Strategic Alignment,Skill,Motivate others in an organization to commit to and actively participate in the strategic alignment process.,Strategic Alignment,"Transferrable Skills for Leaders, Strategic Alignment"
Strategic Business Unit,Skill,Articulate the value proposition of the business unit's strategic vision and purpose.,Strategic Business Unit,"Microsoft PowerPoint, Microsoft Word, Strategic Business Unit"
Strategic Communication,Skill,Write for a variety of audiences.,Strategic Communication,"Strategic Communication, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Change Manager"
Strategic Decision-Making,Skill,Think strategically and long-term about decisions.,Strategic Decision-Making,"Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management, Strategic Decision-Making"
Strategic Management,Skill,Set strategic goals and objectives for an organization.,Strategic Management,"Management, Strategic Management, Cascade Strategy, ClearPoint Strategy, WorkBoard, AchieveIt, Rhythm Systems, MPOWR Envision, Jira Align"
Strategic Marketing,Skill,"Negotiate contracts with vendors or distributors to manage product distribution, establish distribution networks, or develop distribution strategies.",Strategic Marketing,"Negotiation, Management, Marketing, Strategy, Strategic Marketing"
Strategic Planning,Skill,Facilitate workshops to assist managers in selecting a set of strategies for the organization that enable it to achieve better performance.,Strategic Planning,"Business Ethics, Professional Ethics, Doing, Strategic Planning"
Strategic Thinking,Skill,Gather the relevant information required to analyze a topic.,Strategic Thinking,"Analysis, Analytical Techniques, Thinking, Strategic Thinking, Strategy"
Stress Management,Skill,Implement resources to support recovery from adversity.,Stress Management,"21st Century Skills, Doing, SEL, Power Skills Framework, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Self Management, Stress Management, Stress Relaxation"
Stress Testing,Skill,Modify the components of a system based on stress testing results.,Stress Testing,Stress Testing
Structure of the Human Resource (HR) Function,Skill,"Adapt work style to fit the organization's human resource (HR) service model (e.g., centralized vs. decentralized), to ensure timely and consistent delivery of services to stakeholders.",Structure of the Human Resource (HR) Function,"Human Resources, HR, SHRM, organization, Stakeholders, Structure of the Human Resource (HR) Function, Structure of the HR Function, Structure of the Human Resource Function"
Student Affairs Administration,Skill,Provide organizational wellness resources aligned to student needs.,Student Affairs Administration,"Wellness, health, resources, CAS standards, Student affairs administration"
Student Development,Skill,Create program offerings that support students' growth.,Student Development,"Student Development, CAS, AACC, academic programs, curricula, student support"
Student Engagement,Skill,Train teachers in new techniques that encourage student engagement in learning activities.,Student Engagement,"Training and Development, Teaching, Student Engagement, Training, Professional Development, Learning, Education, students, teachers"
Student Information Systems,Skill,"Create a single student information system (SIS) that is accessible to students, advisors, registrars, and admissions personnel.",Student Information Systems,"CAS, Student Information Systems, Software communication"
Student Learning Outcomes,Skill,Edit learning objectives to align with student learning needs.,Student Learning Outcomes,"Student Learning Outcomes, InTASC"
Student Recruitment,Skill,Identify pathways students take to attend institutions.,Student Recruitment,"CAS, institutional growth, Student Recruitment, student need, metrics identification"
Student Services,Skill,Respond to student service issues.,Student Services,"Service-Orientation, Student Services"
Student-Centered Learning,Skill,Implement inquiry-based learning activities in the classroom for students with exceptionalities.,Student-Centered Learning,"Student-Centered Learning, Inquiry, students with exceptionalities, classroom, learning activities"
Subcontracting,Skill,Determine the scope of work to be completed by a subcontractor.,Subcontracting,"Microsoft Word, Adobe Acrobat, Subcontracting"
Substance Abuse,Skill,Identify the signs of substance abuse in individuals.,Substance Abuse,Substance Abuse
Substance Dependence,Skill,Provide clients with information about addiction issues.,Substance Dependence,"Medical Assistant, Substance Dependence"
Supervision,Skill,Provide effective leadership and guidance to a team of retail sales staff.,Supervision,"Supervision, Retail Sales Manager"
Supply Chain Management,Skill,"Assist in the implementation of supply chain processes that integrate strategy, technology, and people to enable process improvements.",Supply Chain Management,"Management, Implementation, Strategy, Integration, Process Improvement, Supply Chain Management, Supply Chain"
Surface Water,Skill,"Prevent the removal of vegetation around bodies of water, such as streams, to reduce the risk of flooding.",Surface Water,Surface Water
Surgeries,Skill,Prepare a patient for surgery using correct anatomical landmarks.,Surgeries,"Anatomy, Surgeries"
Surgical Procedures,Skill,Help with surgical procedures.,Surgical Procedures,"Surgical Procedures, Continuing Dental Education"
Suspension (Vehicle),Skill,Inspect vehicle suspension components at the beginning of a patrol shift.,Suspension (Vehicle),Suspension (Vehicle)
Suspicious Activity Report,Skill,Document large or unusual transactions on a suspicious activity report.,Suspicious Activity Report,"Suspicious Activity Report, Bank Secrecy Act E-File"
Sustainability,Skill,Promote the best use of materials to eliminate waste and pollution to reach zero-waste goals.,Sustainability,"Marketing, Sustainability"
System Administration,Skill,Provide system recommendations to decision makers.,System Administration,System Administration
System Configuration,Skill,Identify differences between virtual machines and virtual services.,System Configuration,System Configuration
System Monitoring,Skill,Interpret system logs and alerts.,System Monitoring,System Monitoring
System Requirements,Skill,Implement system architectures that meet requirements and adhere to industry standards.,System Requirements,"Systems Engineer, System Requirements"
Systems Analysis,Skill,"Use business process modeling, mapping, and analysis with business stakeholders for system development.",Systems Analysis,Systems Analysis
Systems Architecture,Skill,Establish guiding principles for the design of a new systems architecture.,Systems Architecture,Systems Architecture
Systems Design,Skill,Troubleshoot a system.,Systems Design,Systems Design: Systems Engineer
Systems Development Life Cycle,Skill,Define the work phases for an information systems development life cycle.,Systems Development Life Cycle,"Microsoft Excel, Information Systems, Jira, Systems Development Life Cycle, ReQtest, Jama Connect, Azure DevOps, Aha!, Life Cycle, Work Phases"
Systems Engineering,Skill,Develop detailed testing scenarios for a system.,Systems Engineering,"Microsoft Excel, Microsoft Word, Google Docs, Google Sheets, Systems Engineering"
Systems Integration,Skill,Troubleshoot issues with integrated systems.,Systems Integration,"Systems Engineer, Systems Integration"
Systems Thinking,Skill,Examine the context of relationships to understand a system.,Systems Thinking,"21st Century Skills, GeneralEducation2019, Thinking, Critical Thinking, Operations, GE Framework, Problem Solving, Decision Making, Innovation, Management, Troubleshooting (Problem Solving), Systems Thinking"
TCP/IP,Skill,Troubleshoot TCP/IP issues.,TCP/IP,"TCP/IP, Systems Engineer"
Tactfulness,Skill,Teach trainees how to be tactful.,Tactfulness,Tactfulness
Talent Acquisition,Skill,Interpret the talent needs of the organization or business unit.,Talent Acquisition,"Human Resources, Recruitment, HR, SHRM, Strategic Business Unit, Talent Sourcing, People, Talent Acquisition"
Talent Management,Skill,Utilize data to forecast future talent needs.,Talent Management,"Talent Management, Influencer, Transferrable Skills for Leaders"
Talent Sourcing,Skill,Plan a sourcing strategy to support an organization's recruitment needs.,Talent Sourcing,"Planning, MS Office, Taleo, Strategy, Email Software, Recruitment, Talent Sourcing, Sourcing (Recruitment), LinkedIn Pro, Applicant Tracking System (ATS), SAP SuccessFactors, iCIMS, Talent Acquisition"
Tanium (Endpoint Management Software),Skill,Maintain Tanium in an organization.,Tanium (Endpoint Management Software),Tanium (Endpoint Management Software)
Target Audience,Skill,Interact with the target audience to build relationships and foster loyalty.,Target Audience,"Target Audience, Influencer"
Task Analysis,Skill,Identify the skills a patient has in relation to treatment success.,Task Analysis,Task Analysis
Task Centered Practice,Skill,Evaluate information and results to choose the best solution to solve a problem.,Task Centered Practice,"Task Centered Practice, information, problem, solve, results"
Tax Accounting,Skill,Calculate taxpayer penalties relating to federal tax returns.,Tax Accounting,Tax Accounting
Tax Analysis,Skill,Apply all published changes to tax regulations.,Tax Analysis,"ATX Total Tax Office, BNA Income Tax Planning Solutions, Intuit Lacerte, Orrtax Software IntelliTax Classic, Tax Analysis"
Tax Compliance,Skill,Ensure businesses and individuals are fully compliant with relevant tax regulations.,Tax Compliance,Tax Compliance
Tax Laws,Skill,Advise corporate executives on business and tax implications of rulings from courts of law and administrative hearings.,Tax Laws,"Tax Laws, Tax Law"
Tax Planning,Skill,Review prior tax returns to ensure efficiency in future tax filings.,Tax Planning,"Tableau, Bloomberg, QuickBooks, Sage, Microsoft Office Suite, SAS, Reuters, LotusNotes, Tax Planning"
Tax Preparation,Skill,"Analyze client fiscal liabilities, resolving taxation issues, and tax returns to ensure the client is paying the least amount of taxes allowed.",Tax Preparation,Tax Preparation
Tax Research,Skill,"Develop tax research schemes that differentiate the research process between state, local, and federal taxation policies.",Tax Research,Tax Research
Tax Return,Skill,Create best practices for the collection of taxpayer information for the three sections of the tax return.,Tax Return,"Tax Return, Federal Tax Returns, Tax Returns"
Taxware (Software),Skill,Implement tax software that assists in tax compliance with taxes that are required to be paid.,Taxware (Software),"QuickBooks, Tax Software, Taxware (Software)"
Teaching,Skill,Model the use of academic language and vocabulary for content learning.,Teaching,"Teaching, InTASC"
Team Building,Skill,"Practice ways to establish trust, open channels for dialogue, and mutual respect within a system or practice.",Team Building,"Team Building, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Interpersonal Communication"
Team Collaboration for Care,Skill,Collaborate with the interdisciplinary team for care approach determination.,Team Collaboration for Care,"Population Health Management, Population Health, Care Delivery Models"
Team Leadership,Skill,Identify a team's strengths and weaknesses to assign responsibilities to team members.,Team Leadership,"Team Leadership, SAP, Leading Teams, Enterprise Resource Planning software, Microsoft Dynamics, Oracle E-Business Suite, Oracle JD Edwards EnterpriseOne, Project Management software, Microsoft Project, Atlassian JIRA, Confluence, Oracle Primavera Enterprise Project Portfolio Management"
Team Management,Skill,Track team milestones against a defined project timeline.,Team Management,"Leadership, Teamwork, Management, Team Management, MS Office, MS Project, Visio, Timelines, Milestones, Leader"
Teamwork,Skill,"Distinguish between various personality types, working styles, and other diversity factors when working in teams.",Teamwork,"Team Oriented, Teamwork, Team Building, Team Management, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Interpersonal Communication"
Technical Communication,Skill,Use visuals to supplement technical information.,Technical Communication,"Transferrable Skills Across Occupations, Technical Communication"
Technical Documentation,Skill,Develop technical documentation for new systems and technologies.,Technical Documentation,"Systems Engineer, Technical Documentation"
Technical Support,Skill,Maintain troubleshooting documentation for end users.,Technical Support,"documentation, Technical Support, Zendesk, TeamViewer, RescueAssist, SolarWinds, Kaseya VSA"
Technical Training,Skill,Prepare training materials and agendas for technical training sessions.,Technical Training,"Research, Technical Training, Acquisition, & Development Center (SORDAC) software applications."
Technical Writing,Skill,Convey technical details of a given topic to a knowledgeable audience.,Technical Writing,"Microsoft Excel, Microsoft Word, Google Docs, Google Sheets, Technical Writing"
Technological Literacy,Skill,Use technology to support and sustain community involvement.,Technological Literacy,"Foundational Literacies, Technological Literacy, Technological Change"
Technology Ethics,Skill,Determine compliance of privacy regulations.,Technology Ethics,"Doing, Technology Ethics, GDPR, CCPA, Biometric data protection, Asimov's Laws, IEE Code of Ethics"
Technology Management,Skill,"Implement technology-driven self-service approaches that enable managers and employees to perform basic people-related transactions (e.g., scheduling, timekeeping, compensation administration, benefit enrollment, information changes).",Technology Management,"Management, Implementation, Scheduling, Timelines, Human Resources, HR, SHRM, organization, Automation, benefits, Administration, Compensation, Technology Management, Timekeeping"
Telecommunications,Skill,Send information via transmitter.,Telecommunications,Telecommunications
Telephone Skills,Skill,Demonstrate how to transfer a call.,Telephone Skills,Telephone Skills
Terminal Access Controller Access-Control System (TACACS),Skill,Configure network access servers with Terminal Access Controller Access Control System (TACACS) daemon and configuration information.,Terminal Access Controller Access-Control System (TACACS),"Terminal Access Controller Access-Control System (TACACS), Identity and Access Management for CompTIA Security+, Terminal Access Controller Access Control System (TACACS)"
Test Automation,Skill,Select tools to be used for automated testing in an organization's environment.,Test Automation,"Selenium, Test Automation, Automated Testing: End to End, SpecFlow, Automated Testing"
Test Equipment,Skill,Calibrate testing equipment for a given scenario.,Test Equipment,Test Equipment
Test Management,Skill,Write a test report summarizing test results and conclusions.,Test Management,"Microsoft Excel, Microsoft Word, Test Management"
Test Planning,Skill,Manage testing process training for personnel.,Test Planning,Test Planning
Testimony,Skill,Incorporate visual aids during testimony.,Testimony,Testimony
Therapeutic Interventions,Skill,Document the goals of a therapeutic intervention for a patient.,Therapeutic Interventions,"Medical Assistant, Therapeutic Interventions"
Third-Party Insurance Reimbursement,Skill,"Render payment from third-party reimbursement, such as Medicare and Medicaid.",Third-Party Insurance Reimbursement,"Third-Party Insurance Reimbursement, Medicare, Medicaid"
Thought Leadership,Skill,Think independently to make sound judgments.,Thought Leadership,"Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Thought Transferrable Skills for Leadership"
Threat Assessment,Skill,Assign priorities and ratings to threats and vulnerabilities.,Threat Assessment,"Information Systems Security, Threat Modeling Fundamentals, Threat Assessment"
Threat Management,Skill,Maintain Palo Alto Networks advanced threat management in the organization.,Threat Management,"Threat Management, Preventing Threats Using Palo Alto Firewalls, Palo Alto Networks Advanced Threat Management"
Threat Modeling,Skill,Classify threats and vulnerabilities into a risk classification system.,Threat Modeling,"Information Systems Security, Threat Modeling, Threat Modeling Fundamentals"
Time Management,Skill,"Prioritize work tasks effectively for nursing care, medication administration, procedures, and ancillary department testing throughout the patient care shift.",Time Management,Time Management
Time Series,Skill,Perform interpolation of time-series data.,Time Series,"SAS, MATLAB, Python, R, Time Series"
Timelines,Skill,Facilitate meetings for the development of timelines based on the tasks and time required.,Timelines,Timelines
Tints and Shades,Skill,Select eyewear tints and shades to meet a patient's specific needs.,Tints and Shades,Tints and Shades
Tooling,Skill,Launch tooling into production.,Tooling,"AutoCAD, SolidWorks, ProE, ANSYS, Tooling"
Top Secret-Sensitive Compartmented Information (TS/SCI Clearance),Skill,Store sensitive information in a management system.,Top Secret-Sensitive Compartmented Information (TS/SCI Clearance),Top Secret-Sensitive Compartmented Information (TS/SCI Clearance)
Tort Law,Skill,Explain defenses for a business organization's tort-based liability risks.,Tort Law,Tort Law
Total Quality Management,Skill,Conduct workshops to educate employees on their impact in the total quality management process.,Total Quality Management,"Training and Development, Quality Management, Management, Training, Professional Development, Education, Total Quality Management, Total Quality, quality"
Total Rewards,Skill,Perform accurate job evaluations to determine appropriate compensation.,Total Rewards,"Performance Management, Evaluation, Human Resources, HR, SHRM, People, benefits, Compensation, Total Rewards, Performance Evalaution"
Toxicology,Skill,Examine known blood samples for the presence of poisons.,Toxicology,Toxicology
Traffic Flow,Skill,Explain traffic patterns used in the United States.,Traffic Flow,Traffic Flow
Traffic Patterns,Skill,Identify customer shopping patterns and peak times in order to optimize staffing levels.,Traffic Patterns,"Retail Sales Manager, Traffic Patterns"
Traffic Regulations,Skill,Explain how traffic laws are enforced.,Traffic Regulations,Traffic Regulations
Training And Development,Skill,Develop training that integrates building trust.,Training And Development,Training and Development
Transact-SQL,Skill,Generate snapshot data with Transact-SQL.,Transact-SQL,"Transact-SQL, Snapshot Data"
Transcribing,Skill,Differentiate between similar sounding words for correct word selection when transcribing.,Transcribing,"Transcribing, Parsing"
Transportation Management Systems,Skill,"Evaluate shipping carrier options based on cost, efficiency, and distance.",Transportation Management Systems,"SAP, Tableau, MicroStrategy, Enterprise Resource Planning software, Microsoft Dynamics, Oracle E-Business Suite, Oracle JD Edwards EnterpriseOne, Business Intelligence and Data Analysis software IBM Cognos Impromptu, Qlick Tech QlickView, Transportation Management Systems"
Trauma,Skill,Provide trauma victims with a safe and supportive environment.,Trauma,Trauma
Trauma Care,Skill,Respond to a change in a trauma patient's status.,Trauma Care,Trauma Care
Treasury,Skill,"Collect taxes, duties, and monies owed to an organization.",Treasury,Treasury
Treatment Planning,Skill,"Select comprehensive treatment planning methods, tools, and techniques.",Treatment Planning,"Planning, Treatment Planning, Treatment Approaches, Treatment Explanation"
Triage,Skill,Determine what tasks are to be completed first during a busy time.,Triage,Triage
Troubleshooting (Problem Solving),Skill,Implement a fix or work-around for all affected systems once the cause of the problem is identified.,Troubleshooting (Problem Solving),Troubleshooting (Problem Solving)
Trustworthiness,Skill,Be authentic with others.,Trustworthiness,"Trustworthiness, Honesty, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management"
Trustworthy,Skill,Create trustworthy patient relationships through honest communication.,Trustworthy,Trustworthy
Tuberculosis Management,Skill,Teach vulnerable populations about conditions that promote the spread of tuberculosis.,Tuberculosis Management,"patient education, Tuberculosis Management"
U.S. Employment Law and Regulations,Skill,Educate senior leadership on human resource (HR)-related legal and regulatory compliance issues.,U.S. Employment Law and Regulations,"Leadership, Training and Development, Legal Knowledge, Compliance, Training, Professional Development, workplace, Laws, Education, Human Resources, HR, SHRM, Legislation, Regulatory Compliance, Leaders, U.S. Employment Law and Regulations, U.S. Employment Law & Regulations, U.S. Employment Law, U.S. Employment Regulations"
Underwriting,Skill,Review company underwriting policies to verify accuracy.,Underwriting,"Delphi Technology, Underwriting, Valen Technologies Risk Manager, Fannie Mae Desktop Underwriter, RGA Facultative Application Console"
Unified Communications,Skill,Design hardware for the integration of communication services.,Unified Communications,Unified Communications
Unit Testing,Skill,Write the function or section of code to be tested.,Unit Testing,"JUnit, Unit Testing, Patterns for Pragmatic Unit Testing, Catch"
United States Pharmacopeia (USP) Compliance,Skill,Collect United States Pharmacopeia (USP) drug monographs for the pharmacist's reference.,United States Pharmacopeia (USP) Compliance,"United States Pharmacopeia (USP) Compliance, USP drug monograph"
Universal Design,Skill,Utilize multimedia to present information in diverse formats.,Universal Design,Universal Design
Unix,Skill,Secure access to the Unix environment.,Unix,"Unix, Systems Engineer"
Urgent Care,Skill,Differentiate between urgent and emergent patient needs based on written guidelines.,Urgent Care,"Medical Assistant, Urgent Care"
Use of Force,Skill,Instruct an individual using verbal commands before using force.,Use of Force,Use of Force
User Experience (UX) Design,Skill,Utilize wireframing and prototyping tools to develop interactive and iterative design concepts.,User Experience (UX) Design,
User Experience Design (UX),Skill,Develop wireframes and prototypes around customer needs.,User Experience Design (UX),"Google Analytics, C++, Python, Linux, Oracle Solaris, Oracle Java, User Experience Design (UX)"
